"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.774654888791917","0.67","0.58","0.62","0.58","0.58","0.168654888791917","0.69","0.76","0.71","0.79","0.75","0.04079293327515","0.6","0.61","0.7","0.54","0.66","0.152654888791917","0.55","0.61","0.56","0.59","0.58","0.196654888791917"
"r_vec","0.509479809795539","0.41","0.46","0.33","0.41","0.34","0.119479809795539","0.53","0.58","0.49","0.56","0.45","0.0441040380408923","0.4","0.48","0.51","0.35","0.45","0.0716878858773232","0.35","0.38","0.44","0.39","0.46","0.105479809795539"
"r_vec","0.239618617144618","0.19","0.19","0.24","0.18","0.17","0.0457711702867709","0.27","0.3","0.32","0.31","0.25","0.0503813828553818","0.14","0.24","0.22","0.27","0.21","0.0359237234289237","0.26","0.25","0.2","0.26","0.21","0.0240762765710764"
"r_vec","0.431581408420702","0.27","0.39","0.37","0.33","0.3","0.0995814084207016","0.28","0.24","0.29","0.18","0.19","0.195581408420702","0.28","0.34","0.35","0.28","0.36","0.109581408420702","0.17","0.13","0.19","0.11","0.16","0.279581408420702"
"r_vec","0.400373193925642","0.28","0.24","0.24","0.18","0.26","0.160373193925642","0.24","0.31","0.33","0.26","0.31","0.110373193925642","0.24","0.28","0.3","0.23","0.29","0.132373193925642","0.16","0.23","0.22","0.2","0.16","0.206373193925642"
"r_vec","0.109106615869897","0.15","0.13","0.18","0.12","0.12","0.0308933841301028","0.33","0.28","0.25","0.28","0.19","0.156893384130103","0.21","0.16","0.19","0.24","0.18","0.0868933841301028","0.22","0.22","0.18","0.21","0.2","0.0968933841301028"
"r_vec","0.00980827163741598","0.04","0.07","0.07","0.07","0.07","0.054191728362584","0.12","0.17","0.15","0.2","0.12","0.142191728362584","0.1","0.1","0.1","0.16","0.09","0.100191728362584","0.28","0.29","0.23","0.17","0.24","0.232191728362584"
"r_vec","0.671805408250517","0.47","0.46","0.5","0.41","0.42","0.219805408250517","0.3","0.34","0.35","0.43","0.41","0.305805408250517","0.38","0.4","0.45","0.44","0.33","0.271805408250517","0.39","0.25","0.31","0.25","0.25","0.381805408250517"
"r_vec","0.0394454644585212","0.16","0.14","0.06","0.18","0.13","0.0945545355414788","0.21","0.26","0.3","0.33","0.18","0.216554535541479","0.22","0.14","0.24","0.18","0.23","0.162554535541479","0.32","0.34","0.28","0.31","0.36","0.282554535541479"
"r_vec","0.160149194095826","0.13","0.08","0.06","0.11","0.08","0.0681491940958261","0.15","0.15","0.14","0.1","0.1","0.0321491940958261","0.18","0.14","0.13","0.13","0.1","0.0320895164574957","0.1","0.09","0.08","0.07","0.1","0.0721491940958261"
