"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.901187959845572","0.75","0.71","0.72","0.63","0.66","0.207187959845572","0.74","0.72","0.74","0.76","0.7","0.169187959845572","0.76","0.65","0.66","0.77","0.75","0.183187959845572","0.59","0.6","0.54","0.7","0.68","0.279187959845572"
"r_vec","0.714530747503863","0.41","0.42","0.57","0.38","0.48","0.262530747503863","0.52","0.52","0.57","0.53","0.53","0.180530747503863","0.44","0.45","0.47","0.57","0.48","0.232530747503863","0.33","0.4","0.39","0.38","0.37","0.340530747503863"
"r_vec","0.400826176071289","0.13","0.23","0.2","0.26","0.15","0.206826176071289","0.25","0.25","0.25","0.34","0.3","0.122826176071289","0.28","0.26","0.2","0.33","0.22","0.142826176071289","0.22","0.22","0.24","0.21","0.21","0.180826176071289"
"r_vec","0.229948964286988","0.31","0.36","0.22","0.27","0.25","0.0560306214278074","0.22","0.25","0.27","0.2","0.16","0.0339897928573975","0.22","0.19","0.22","0.21","0.24","0.0179693785721926","0.2","0.15","0.2","0.14","0.09","0.0739489642869877"
"r_vec","0.458435220879533","0.28","0.3","0.31","0.3","0.25","0.170435220879533","0.31","0.23","0.24","0.28","0.26","0.194435220879533","0.26","0.28","0.19","0.24","0.19","0.226435220879533","0.16","0.22","0.13","0.2","0.26","0.264435220879533"
"r_vec","0.25609552662433","0.16","0.18","0.21","0.2","0.18","0.0700955266243301","0.32","0.27","0.32","0.28","0.28","0.03790447337567","0.23","0.19","0.25","0.23","0.18","0.04009552662433","0.18","0.15","0.24","0.24","0.17","0.0600955266243301"
"r_vec","0.0354877633931552","0.11","0.08","0.04","0.11","0.1","0.0525122366068448","0.18","0.16","0.19","0.22","0.21","0.156512236606845","0.16","0.21","0.1","0.08","0.17","0.108512236606845","0.21","0.28","0.19","0.23","0.19","0.184512236606845"
"r_vec","0.456785404934211","0.39","0.54","0.44","0.43","0.41","0.0480712429605265","0.28","0.35","0.33","0.26","0.31","0.150785404934211","0.36","0.39","0.28","0.33","0.43","0.0987854049342109","0.25","0.26","0.26","0.25","0.27","0.198785404934211"
"r_vec","0.122355894178506","0.22","0.19","0.27","0.19","0.17","0.0856441058214941","0.41","0.28","0.27","0.18","0.28","0.161644105821494","0.3","0.26","0.2","0.23","0.25","0.125644105821494","0.31","0.31","0.31","0.34","0.39","0.209644105821494"
"r_vec","0.23159878023231","0.11","0.16","0.13","0.09","0.1","0.11359878023231","0.16","0.18","0.14","0.12","0.14","0.0835987802323096","0.12","0.16","0.14","0.16","0.1","0.0955987802323096","0.1","0.07","0.15","0.18","0.04","0.12359878023231"
