"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.296630512219878","0.51","0.59","0.54","0.59","0.48","0.245369487780122","0.67","0.66","0.62","0.57","0.61","0.329369487780122","0.67","0.65","0.64","0.68","0.59","0.349369487780122","0.62","0.52","0.61","0.65","0.59","0.301369487780122"
"r_vec","0.11587866189011","0.45","0.36","0.35","0.48","0.33","0.27812133810989","0.43","0.43","0.43","0.4","0.44","0.31012133810989","0.47","0.45","0.53","0.45","0.49","0.36212133810989","0.35","0.44","0.39","0.39","0.41","0.28012133810989"
"r_vec","0.0341558381502713","0.19","0.17","0.18","0.21","0.25","0.165844161849729","0.23","0.24","0.12","0.26","0.22","0.179844161849729","0.21","0.27","0.18","0.19","0.2","0.175844161849729","0.24","0.19","0.24","0.18","0.21","0.177844161849729"
"r_vec","0.489592243432056","0.34","0.38","0.33","0.38","0.33","0.137592243432056","0.31","0.3","0.35","0.36","0.28","0.169592243432056","0.28","0.21","0.27","0.36","0.25","0.215592243432056","0.25","0.13","0.22","0.15","0.12","0.315592243432056"
"r_vec","0.107777370562167","0.22","0.24","0.3","0.27","0.3","0.158222629437833","0.25","0.27","0.28","0.25","0.27","0.156222629437833","0.25","0.25","0.27","0.24","0.32","0.158222629437833","0.24","0.14","0.13","0.16","0.14","0.0542226294378329"
"r_vec","0.00810129132794283","0.15","0.09","0.15","0.17","0.12","0.127898708672057","0.24","0.17","0.13","0.22","0.18","0.179898708672057","0.18","0.22","0.26","0.18","0.17","0.193898708672057","0.24","0.23","0.19","0.18","0.22","0.203898708672057"
"r_vec","0.000151302056737617","0.01","0.08","0.04","0.07","0.03","0.0458486979432624","0.04","0.07","0.07","0.05","0.07","0.0598486979432624","0.13","0.12","0.18","0.12","0.13","0.135848697943262","0.21","0.23","0.2","0.24","0.23","0.221848697943262"
"r_vec","0.570087452700022","0.39","0.48","0.44","0.58","0.61","0.0900174905400043","0.45","0.51","0.46","0.49","0.46","0.0960874527000216","0.49","0.37","0.45","0.4","0.38","0.152087452700022","0.28","0.2","0.19","0.23","0.28","0.334087452700022"
"r_vec","0.00137891652861054","0.08","0.15","0.07","0.11","0.09","0.0986210834713895","0.17","0.09","0.14","0.14","0.17","0.140621083471389","0.19","0.18","0.26","0.17","0.24","0.206621083471389","0.43","0.33","0.38","0.33","0.35","0.362621083471389"
"r_vec","0.0272821612942013","0.11","0.08","0.1","0.11","0.08","0.0687178387057987","0.09","0.15","0.1","0.1","0.11","0.0827178387057987","0.15","0.12","0.11","0.15","0.12","0.102717838705799","0.13","0.13","0.09","0.11","0.11","0.0867178387057987"
