"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.756455837894421","0.69","0.7","0.67","0.73","0.62","0.0744558378944213","0.67","0.7","0.69","0.75","0.65","0.0644558378944213","0.58","0.58","0.8","0.73","0.65","0.105873502736653","0.54","0.58","0.56","0.6","0.53","0.194455837894421"
"r_vec","0.506329089403027","0.57","0.44","0.53","0.47","0.47","0.0452658178806054","0.47","0.44","0.44","0.47","0.4","0.0623290894030269","0.52","0.52","0.5","0.54","0.36","0.0427341821193946","0.4","0.38","0.35","0.38","0.37","0.130329089403027"
"r_vec","0.242716527299263","0.25","0.25","0.23","0.3","0.34","0.036370083620442","0.18","0.21","0.28","0.3","0.26","0.0414566945401473","0.29","0.18","0.26","0.26","0.19","0.0394566945401473","0.22","0.14","0.2","0.2","0.14","0.0627165272992633"
"r_vec","0.414616000912049","0.09","0.16","0.13","0.11","0.14","0.288616000912049","0.29","0.19","0.36","0.27","0.19","0.154616000912049","0.16","0.19","0.14","0.15","0.21","0.244616000912049","0.17","0.22","0.11","0.1","0.21","0.252616000912049"
"r_vec","0.397766085574712","0.24","0.22","0.22","0.17","0.2","0.187766085574712","0.15","0.27","0.25","0.31","0.23","0.155766085574712","0.21","0.26","0.21","0.21","0.21","0.177766085574712","0.17","0.24","0.18","0.15","0.14","0.221766085574712"
"r_vec","0.108563003828315","0.32","0.28","0.25","0.2","0.22","0.145436996171685","0.23","0.27","0.16","0.26","0.25","0.125436996171685","0.21","0.21","0.23","0.2","0.24","0.109436996171685","0.25","0.2","0.19","0.24","0.2","0.107436996171685"
"r_vec","0.00741439145563893","0.28","0.21","0.19","0.27","0.24","0.230585608544361","0.16","0.19","0.23","0.18","0.12","0.168585608544361","0.17","0.21","0.28","0.25","0.18","0.210585608544361","0.28","0.31","0.27","0.21","0.28","0.262585608544361"
"r_vec","0.650118863212612","0.21","0.25","0.22","0.17","0.24","0.432118863212612","0.33","0.4","0.31","0.36","0.31","0.308118863212612","0.29","0.38","0.24","0.3","0.32","0.344118863212612","0.18","0.24","0.21","0.29","0.21","0.424118863212612"
"r_vec","0.0355240912588395","0.44","0.43","0.35","0.44","0.28","0.352475908741161","0.22","0.23","0.22","0.17","0.24","0.180475908741161","0.35","0.29","0.33","0.29","0.35","0.286475908741161","0.39","0.27","0.38","0.39","0.39","0.328475908741161"
"r_vec","0.162263223274149","0.12","0.11","0.08","0.11","0.09","0.0602632232741491","0.15","0.16","0.04","0.1","0.14","0.0442632232741491","0.11","0.18","0.13","0.16","0.11","0.0313579339644895","0.14","0.06","0.08","0.07","0.06","0.0802632232741491"
