"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.277246326004975","0.47","0.39","0.43","0.43","0.35","0.136753673995025","0.52","0.5","0.53","0.45","0.53","0.228753673995025","0.59","0.53","0.54","0.48","0.58","0.266753673995025","0.56","0.6","0.64","0.7","0.59","0.340753673995025"
"r_vec","0.0831137109943744","0.21","0.31","0.23","0.28","0.24","0.170886289005626","0.36","0.3","0.37","0.32","0.36","0.258886289005626","0.41","0.39","0.35","0.34","0.41","0.296886289005626","0.39","0.45","0.41","0.44","0.48","0.350886289005626"
"r_vec","0.0174769242943309","0.11","0.13","0.13","0.14","0.12","0.108523075705669","0.1","0.16","0.16","0.18","0.13","0.128523075705669","0.15","0.16","0.24","0.15","0.21","0.164523075705669","0.19","0.19","0.12","0.15","0.19","0.150523075705669"
"r_vec","0.562822420882093","0.44","0.47","0.44","0.4","0.42","0.128822420882093","0.4","0.44","0.47","0.34","0.44","0.144822420882093","0.44","0.42","0.41","0.34","0.39","0.162822420882093","0.2","0.18","0.19","0.24","0.2","0.360822420882093"
"r_vec","0.0804611787988871","0.15","0.23","0.23","0.11","0.22","0.107538821201113","0.22","0.18","0.19","0.22","0.19","0.119538821201113","0.19","0.21","0.16","0.27","0.27","0.139538821201113","0.27","0.28","0.27","0.12","0.24","0.155538821201113"
"r_vec","0.00265253219548727","0.04","0.09","0.06","0.07","0.06","0.0613474678045127","0.16","0.13","0.09","0.13","0.1","0.119347467804513","0.13","0.14","0.06","0.17","0.21","0.139347467804513","0.19","0.2","0.13","0.17","0.13","0.161347467804513"
"r_vec","1.73249303996415e-05","0","0","0.02","0.01","0.02","0.00999653501392007","0.01","0.01","0.01","0.05","0.03","0.0219826750696004","0.03","0.07","0.04","0.06","0.03","0.0459826750696004","0.16","0.15","0.18","0.24","0.12","0.1699826750696"
"r_vec","0.628204621920205","0.59","0.59","0.45","0.58","0.42","0.102204621920205","0.53","0.45","0.48","0.42","0.54","0.144204621920205","0.54","0.48","0.57","0.49","0.5","0.112204621920205","0.32","0.3","0.3","0.37","0.34","0.302204621920205"
"r_vec","0.000271910592332104","0.08","0.05","0.1","0.06","0.08","0.0737280894076679","0.08","0.08","0.08","0.08","0.09","0.0817280894076679","0.08","0.07","0.03","0.09","0.12","0.0777280894076679","0.31","0.27","0.33","0.25","0.28","0.287728089407668"
"r_vec","0.015078977760776","0.1","0.08","0.07","0.04","0.11","0.064921022239224","0.08","0.1","0.06","0.13","0.1","0.078921022239224","0.14","0.18","0.08","0.12","0.1","0.108921022239224","0.09","0.12","0.09","0.09","0.12","0.0869210222392239"
