"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.972363662969137","0.69","0.66","0.61","0.68","0.67","0.310363662969137","0.6","0.51","0.63","0.59","0.67","0.372363662969137","0.55","0.61","0.63","0.76","0.65","0.332363662969137","0.63","0.63","0.68","0.57","0.52","0.366363662969137"
"r_vec","0.84053063984933","0.49","0.4","0.46","0.43","0.43","0.39853063984933","0.42","0.53","0.4","0.42","0.36","0.41453063984933","0.35","0.41","0.52","0.39","0.43","0.42053063984933","0.27","0.47","0.34","0.45","0.38","0.45853063984933"
"r_vec","0.508397450875315","0.27","0.25","0.22","0.18","0.22","0.280397450875315","0.25","0.18","0.17","0.2","0.2","0.308397450875315","0.16","0.18","0.21","0.18","0.2","0.322397450875315","0.21","0.17","0.18","0.12","0.21","0.330397450875315"
"r_vec","0.111767364176397","0.22","0.25","0.29","0.26","0.3","0.152232635823603","0.07","0.1","0.09","0.06","0.05","0.0377673641763968","0.32","0.22","0.24","0.26","0.27","0.150232635823603","0.22","0.25","0.24","0.26","0.2","0.122232635823603"
"r_vec","0.485324169739751","0.31","0.24","0.26","0.2","0.21","0.241324169739751","0.13","0.18","0.28","0.1","0.25","0.297324169739751","0.23","0.16","0.18","0.21","0.24","0.281324169739751","0.19","0.19","0.16","0.23","0.2","0.291324169739751"
"r_vec","0.355206470109579","0.23","0.2","0.21","0.22","0.1","0.163206470109579","0.3","0.29","0.19","0.27","0.33","0.0792064701095788","0.12","0.13","0.22","0.16","0.18","0.193206470109579","0.19","0.15","0.2","0.17","0.2","0.173206470109579"
"r_vec","0.0461879015740371","0.14","0.11","0.11","0.13","0.16","0.0838120984259628","0.41","0.22","0.31","0.26","0.34","0.261812098425963","0.14","0.16","0.13","0.15","0.17","0.103812098425963","0.2","0.12","0.11","0.17","0.19","0.111812098425963"
"r_vec","0.320436821214649","0.36","0.4","0.34","0.38","0.41","0.0575631787853509","0.17","0.13","0.16","0.1","0.14","0.180436821214649","0.41","0.5","0.4","0.37","0.39","0.0935631787853509","0.41","0.35","0.32","0.26","0.32","0.0360873642429298"
"r_vec","0.1696516335098","0.21","0.25","0.18","0.2","0.19","0.0363483664902003","0.5","0.48","0.54","0.46","0.41","0.3083483664902","0.22","0.28","0.23","0.18","0.26","0.0643483664902003","0.3","0.31","0.25","0.28","0.25","0.1083483664902"
"r_vec","0.276654712701499","0.15","0.14","0.18","0.08","0.15","0.136654712701499","0.06","0.1","0.16","0.08","0.14","0.168654712701499","0.07","0.15","0.13","0.1","0.14","0.158654712701499","0.16","0.1","0.14","0.14","0.09","0.150654712701499"
