"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.928588475877628","0.64","0.61","0.61","0.68","0.66","0.288588475877628","0.74","0.66","0.72","0.72","0.71","0.218588475877628","0.73","0.68","0.62","0.67","0.71","0.246588475877628","0.54","0.62","0.54","0.63","0.67","0.328588475877628"
"r_vec","0.74172305293325","0.43","0.42","0.42","0.48","0.48","0.29572305293325","0.44","0.53","0.49","0.48","0.44","0.26572305293325","0.5","0.47","0.44","0.47","0.49","0.26772305293325","0.43","0.36","0.35","0.38","0.36","0.36572305293325"
"r_vec","0.41415656747205","0.22","0.2","0.25","0.22","0.22","0.19215656747205","0.2","0.23","0.3","0.25","0.26","0.16615656747205","0.24","0.25","0.27","0.34","0.17","0.16015656747205","0.21","0.18","0.16","0.21","0.3","0.20215656747205"
"r_vec","0.227162974660856","0.21","0.26","0.37","0.36","0.32","0.0837022152034867","0.17","0.19","0.18","0.19","0.16","0.0491629746608556","0.21","0.19","0.29","0.22","0.21","0.0282977847965133","0.22","0.16","0.29","0.18","0.2","0.0422977847965133"
"r_vec","0.505450244997913","0.29","0.25","0.24","0.23","0.24","0.255450244997913","0.24","0.33","0.24","0.28","0.32","0.223450244997913","0.32","0.29","0.24","0.33","0.24","0.221450244997913","0.22","0.14","0.17","0.17","0.17","0.331450244997913"
"r_vec","0.236272807935338","0.19","0.22","0.11","0.18","0.27","0.0557636847612025","0.35","0.24","0.26","0.32","0.28","0.0537271920646625","0.15","0.18","0.18","0.14","0.22","0.0622728079353375","0.21","0.2","0.23","0.17","0.19","0.0362728079353375"
"r_vec","0.023187856108868","0.12","0.16","0.07","0.06","0.11","0.080812143891132","0.14","0.19","0.25","0.16","0.15","0.154812143891132","0.18","0.15","0.15","0.1","0.14","0.120812143891132","0.28","0.18","0.19","0.2","0.25","0.196812143891132"
"r_vec","0.482602935921259","0.45","0.42","0.36","0.36","0.37","0.0906029359212591","0.27","0.27","0.31","0.24","0.32","0.200602935921259","0.3","0.37","0.32","0.35","0.34","0.146602935921259","0.24","0.32","0.28","0.29","0.31","0.194602935921259"
"r_vec","0.0953143803096643","0.17","0.19","0.25","0.18","0.21","0.104685619690336","0.4","0.37","0.48","0.39","0.36","0.304685619690336","0.21","0.23","0.28","0.27","0.21","0.144685619690336","0.2","0.32","0.35","0.29","0.3","0.196685619690336"
"r_vec","0.250010283737509","0.12","0.17","0.12","0.14","0.11","0.118010283737509","0.14","0.19","0.14","0.09","0.12","0.114010283737509","0.15","0.11","0.11","0.12","0.13","0.126010283737509","0.06","0.19","0.08","0.09","0.1","0.146010283737509"
