"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.649640767684562","0.67","0.62","0.57","0.7","0.67","0.0400718464630875","0.57","0.56","0.53","0.57","0.58","0.0876407676845624","0.68","0.63","0.65","0.75","0.59","0.0420718464630876","0.64","0.58","0.68","0.64","0.61","0.0317844606107374"
"r_vec","0.358980437958205","0.47","0.48","0.46","0.41","0.53","0.111019562041795","0.33","0.44","0.45","0.35","0.38","0.0462039124083591","0.41","0.45","0.49","0.45","0.46","0.0930195620417954","0.43","0.42","0.38","0.39","0.33","0.0426117372250772"
"r_vec","0.138143619103701","0.24","0.24","0.27","0.16","0.25","0.0938563808962987","0.16","0.26","0.21","0.12","0.27","0.0731138285377792","0.27","0.29","0.29","0.21","0.28","0.129856380896299","0.12","0.26","0.21","0.17","0.25","0.0711138285377792"
"r_vec","0.534159196145016","0.24","0.22","0.3","0.18","0.22","0.302159196145016","0.32","0.37","0.34","0.29","0.32","0.206159196145016","0.29","0.21","0.23","0.34","0.28","0.264159196145016","0.22","0.17","0.19","0.18","0.22","0.338159196145016"
"r_vec","0.318023662014703","0.22","0.22","0.25","0.27","0.24","0.0780236620147027","0.24","0.27","0.21","0.21","0.26","0.0800236620147027","0.25","0.2","0.33","0.27","0.23","0.0668141972088216","0.18","0.23","0.24","0.16","0.18","0.120023662014703"
"r_vec","0.0409567759435018","0.18","0.17","0.24","0.22","0.25","0.171043224056498","0.1","0.1","0.07","0.14","0.19","0.0790432240564982","0.14","0.14","0.18","0.31","0.16","0.145043224056498","0.25","0.16","0.19","0.16","0.18","0.147043224056498"
"r_vec","0.000916341503694668","0.23","0.15","0.15","0.12","0.11","0.151083658496305","0.05","0.06","0.02","0.02","0.03","0.0350836584963053","0.16","0.15","0.08","0.13","0.15","0.133083658496305","0.21","0.2","0.18","0.19","0.16","0.187083658496305"
"r_vec","0.747917215249445","0.39","0.39","0.44","0.43","0.33","0.351917215249445","0.56","0.51","0.45","0.5","0.53","0.237917215249445","0.44","0.37","0.39","0.4","0.38","0.351917215249445","0.26","0.24","0.33","0.35","0.38","0.435917215249445"
"r_vec","0.00799514125377019","0.29","0.3","0.25","0.26","0.26","0.26400485874623","0.07","0.14","0.11","0.09","0.08","0.0900048587462298","0.22","0.21","0.24","0.22","0.18","0.20600485874623","0.28","0.31","0.29","0.27","0.29","0.28000485874623"
"r_vec","0.104265642910275","0.18","0.08","0.11","0.1","0.12","0.025146871417945","0.11","0.11","0.1","0.12","0.1","0.00714687141794501","0.16","0.15","0.12","0.04","0.1","0.037146871417945","0.1","0.07","0.1","0.05","0.1","0.0202656429102749"
