"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.941533902933762","0.66","0.71","0.66","0.68","0.69","0.261533902933762","0.66","0.7","0.7","0.7","0.74","0.241533902933762","0.62","0.62","0.68","0.72","0.68","0.277533902933762","0.64","0.61","0.56","0.54","0.63","0.345533902933762"
"r_vec","0.776422600255656","0.48","0.43","0.43","0.5","0.49","0.310422600255656","0.49","0.55","0.35","0.52","0.59","0.276422600255656","0.46","0.4","0.49","0.46","0.34","0.346422600255656","0.42","0.48","0.49","0.41","0.33","0.350422600255656"
"r_vec","0.449347054752891","0.16","0.21","0.27","0.31","0.17","0.225347054752891","0.27","0.24","0.2","0.21","0.27","0.211347054752891","0.28","0.26","0.19","0.26","0.25","0.201347054752891","0.15","0.26","0.17","0.2","0.19","0.255347054752891"
"r_vec","0.137144737291624","0.24","0.32","0.24","0.19","0.25","0.110855262708376","0.15","0.15","0.19","0.13","0.12","0.0205710525416751","0.19","0.23","0.25","0.24","0.33","0.110855262708376","0.23","0.23","0.23","0.19","0.2","0.0788552627083756"
"r_vec","0.435166805951549","0.24","0.32","0.24","0.23","0.25","0.179166805951549","0.27","0.2","0.28","0.25","0.18","0.199166805951549","0.24","0.3","0.17","0.31","0.23","0.185166805951549","0.1","0.23","0.19","0.17","0.15","0.267166805951549"
"r_vec","0.341255794304107","0.24","0.28","0.23","0.19","0.24","0.105255794304107","0.28","0.3","0.21","0.3","0.34","0.0552557943041068","0.17","0.2","0.17","0.26","0.23","0.135255794304107","0.16","0.25","0.23","0.2","0.21","0.131255794304107"
"r_vec","0.0790997465132883","0.13","0.13","0.21","0.18","0.16","0.0829002534867117","0.24","0.27","0.18","0.21","0.16","0.132900253486712","0.16","0.16","0.17","0.11","0.16","0.0729002534867118","0.28","0.16","0.19","0.2","0.13","0.112900253486712"
"r_vec","0.332183095459866","0.45","0.28","0.36","0.41","0.43","0.0746901427240803","0.21","0.22","0.27","0.24","0.25","0.0941830954598661","0.41","0.39","0.42","0.36","0.4","0.0638169045401339","0.36","0.37","0.33","0.27","0.32","0.0284366190919732"
"r_vec","0.211136933847812","0.22","0.24","0.18","0.24","0.2","0.0217726132304377","0.34","0.39","0.43","0.41","0.37","0.176863066152188","0.17","0.25","0.28","0.24","0.2","0.0377726132304377","0.32","0.38","0.29","0.27","0.24","0.0888630661521885"
"r_vec","0.240128447783307","0.07","0.08","0.14","0.11","0.12","0.136128447783307","0.1","0.17","0.15","0.1","0.14","0.108128447783307","0.14","0.1","0.11","0.07","0.06","0.144128447783307","0.11","0.08","0.05","0.1","0.09","0.154128447783307"
