"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.790437421930456","0.52","0.51","0.67","0.54","0.48","0.246437421930456","0.57","0.52","0.54","0.53","0.52","0.254437421930455","0.58","0.6","0.52","0.61","0.63","0.202437421930456","0.55","0.67","0.53","0.67","0.63","0.180437421930455"
"r_vec","0.365892184176028","0.33","0.3","0.33","0.32","0.35","0.0398921841760279","0.3","0.32","0.3","0.42","0.37","0.0471784368352056","0.27","0.4","0.42","0.33","0.37","0.0448215631647944","0.43","0.36","0.37","0.39","0.38","0.0224646894943833"
"r_vec","0.0824727783911304","0.2","0.16","0.12","0.19","0.14","0.0795272216088696","0.13","0.12","0.19","0.19","0.21","0.0855272216088696","0.2","0.16","0.18","0.13","0.13","0.0775272216088696","0.21","0.2","0.17","0.17","0.17","0.10152722160887"
"r_vec","0.620289333524234","0.33","0.42","0.42","0.47","0.4","0.212289333524234","0.29","0.39","0.41","0.29","0.34","0.276289333524234","0.42","0.45","0.41","0.46","0.42","0.188289333524234","0.22","0.24","0.23","0.26","0.27","0.376289333524234"
"r_vec","0.357164673569186","0.28","0.23","0.3","0.18","0.26","0.107164673569186","0.15","0.15","0.2","0.22","0.2","0.173164673569186","0.22","0.32","0.24","0.21","0.26","0.107164673569186","0.2","0.19","0.18","0.16","0.19","0.173164673569186"
"r_vec","0.00872751060684161","0.09","0.09","0.08","0.05","0.07","0.0672724893931584","0.15","0.05","0.04","0.09","0.14","0.0852724893931584","0.08","0.09","0.04","0.09","0.06","0.0632724893931584","0.16","0.14","0.19","0.11","0.18","0.147272489393158"
"r_vec","7.65630808045432e-06","0.01","0.03","0","0.01","0","0.00999846873838391","0.02","0.01","0.02","0.04","0.01","0.0199923436919195","0","0.02","0.03","0.01","0.02","0.0159954062151517","0.11","0.08","0.17","0.22","0.14","0.14399234369192"
"r_vec","0.9033084265439","0.58","0.52","0.57","0.64","0.52","0.3373084265439","0.5","0.58","0.58","0.59","0.65","0.3233084265439","0.54","0.68","0.53","0.52","0.5","0.3493084265439","0.4","0.38","0.35","0.36","0.4","0.5253084265439"
"r_vec","0.000407969073311819","0.04","0.01","0.08","0.04","0.04","0.0415920309266882","0.05","0.03","0.04","0.02","0.03","0.0335920309266882","0.07","0.07","0.03","0.06","0.03","0.0515920309266882","0.22","0.22","0.23","0.34","0.17","0.235592030926688"
"r_vec","0.0741455805495201","0.09","0.06","0.09","0.13","0.1","0.0255126516702879","0.12","0.11","0.13","0.09","0.1","0.0358544194504799","0.12","0.04","0.12","0.1","0.05","0.035170883890096","0.13","0.11","0.08","0.13","0.1","0.0358544194504799"
