"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.423479957402043","0.6","0.65","0.65","0.5","0.66","0.188520042597957","0.33","0.32","0.29","0.26","0.3","0.123479957402043","0.59","0.59","0.6","0.62","0.54","0.164520042597957","0.58","0.61","0.57","0.49","0.56","0.138520042597957"
"r_vec","0.0886145884610164","0.43","0.41","0.43","0.36","0.37","0.311385411538984","0.12","0.17","0.11","0.09","0.11","0.0313854115389836","0.4","0.32","0.45","0.3","0.39","0.283385411538984","0.3","0.26","0.31","0.42","0.45","0.259385411538984"
"r_vec","0.00768483588477277","0.17","0.19","0.13","0.15","0.18","0.156315164115227","0.06","0.02","0.09","0.04","0.03","0.0403151641152272","0.16","0.16","0.2","0.12","0.2","0.160315164115227","0.14","0.21","0.25","0.18","0.2","0.188315164115227"
"r_vec","0.788528772717318","0.36","0.41","0.34","0.39","0.38","0.412528772717318","0.52","0.5","0.35","0.46","0.43","0.336528772717318","0.4","0.31","0.45","0.3","0.4","0.416528772717318","0.21","0.22","0.15","0.22","0.11","0.606528772717318"
"r_vec","0.0883484185809033","0.32","0.3","0.27","0.27","0.33","0.209651581419097","0.15","0.11","0.12","0.13","0.19","0.0516515814190967","0.25","0.23","0.29","0.28","0.21","0.163651581419097","0.21","0.21","0.24","0.24","0.19","0.129651581419097"
"r_vec","0.000266169880112947","0.11","0.11","0.13","0.15","0.12","0.123733830119887","0.01","0","0","0.01","0.01","0.00594676602397741","0.11","0.13","0.06","0.1","0.07","0.0937338301198871","0.26","0.26","0.21","0.24","0.16","0.225733830119887"
"r_vec","1.25774005211914e-08","0.02","0.02","0","0.04","0.05","0.0259999924535597","0","0","0.01","0","0","0.00200000754644031","0.02","0","0","0.01","0","0.0060000025154801","0.16","0.2","0.21","0.14","0.22","0.185999987422599"
"r_vec","0.869455192729546","0.6","0.64","0.62","0.49","0.63","0.273455192729546","0.55","0.5","0.49","0.65","0.62","0.307455192729546","0.46","0.62","0.51","0.54","0.63","0.317455192729546","0.33","0.31","0.31","0.27","0.33","0.559455192729546"
"r_vec","3.34514141617233e-06","0.05","0.1","0.1","0.06","0.02","0.0659966548585838","0","0","0.01","0.01","0.01","0.00599933097171677","0.04","0.07","0.04","0.05","0.05","0.0499966548585838","0.29","0.29","0.29","0.29","0.32","0.295996654858584"
"r_vec","0.00742199856867546","0.15","0.11","0.12","0.11","0.07","0.104578001431325","0.01","0.04","0.01","0.06","0.01","0.0185780014313245","0.11","0.07","0.06","0.06","0.14","0.0805780014313245","0.11","0.11","0.08","0.11","0.09","0.0925780014313246"
