"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.744127563595529","0.52","0.52","0.48","0.57","0.57","0.212127563595529","0.45","0.52","0.56","0.53","0.58","0.216127563595529","0.58","0.6","0.6","0.68","0.56","0.140127563595529","0.59","0.61","0.61","0.61","0.53","0.154127563595529"
"r_vec","0.3007809149452","0.33","0.4","0.37","0.41","0.3","0.06153145103288","0.35","0.3","0.38","0.28","0.35","0.03984381701096","0.39","0.4","0.34","0.39","0.43","0.0892190850548001","0.38","0.4","0.38","0.49","0.4","0.1092190850548"
"r_vec","0.0523333176457031","0.13","0.15","0.14","0.18","0.21","0.109666682354297","0.18","0.15","0.18","0.2","0.1","0.109666682354297","0.23","0.21","0.19","0.25","0.18","0.159666682354297","0.24","0.19","0.18","0.18","0.14","0.133666682354297"
"r_vec","0.675825439014661","0.36","0.38","0.45","0.37","0.44","0.275825439014661","0.44","0.37","0.42","0.36","0.46","0.265825439014661","0.34","0.43","0.48","0.43","0.38","0.263825439014661","0.27","0.28","0.29","0.31","0.28","0.389825439014661"
"r_vec","0.297133851962022","0.36","0.24","0.34","0.29","0.25","0.0434267703924044","0.26","0.26","0.23","0.27","0.34","0.0422803111772132","0.32","0.22","0.25","0.32","0.26","0.0414267703924044","0.2","0.19","0.23","0.24","0.28","0.0691338519620221"
"r_vec","0.00364706298317772","0.04","0.07","0.05","0.08","0.1","0.0643529370168223","0.08","0.07","0.09","0.09","0.07","0.0763529370168223","0.09","0.09","0.07","0.17","0.18","0.116352937016822","0.24","0.19","0.21","0.21","0.19","0.204352937016822"
"r_vec","7.67262533685871e-07","0","0.03","0.02","0.01","0.03","0.0179995396424798","0.02","0","0.01","0.01","0","0.00799984654749326","0.04","0.02","0.05","0.02","0.03","0.0319992327374663","0.1","0.24","0.09","0.14","0.13","0.139999232737466"
"r_vec","0.924180047576761","0.58","0.57","0.55","0.52","0.49","0.382180047576761","0.65","0.54","0.5","0.51","0.61","0.362180047576761","0.49","0.43","0.58","0.5","0.5","0.424180047576761","0.38","0.29","0.44","0.32","0.43","0.552180047576761"
"r_vec","9.37559999306215e-05","0.02","0.06","0.06","0.06","0.02","0.0439062440000694","0.05","0.04","0.04","0.08","0.05","0.0519062440000694","0.04","0.09","0.05","0.03","0.06","0.0539062440000694","0.23","0.24","0.26","0.24","0.22","0.237906244000069"
"r_vec","0.0487792433999222","0.09","0.16","0.13","0.11","0.12","0.0732207566000778","0.09","0.07","0.12","0.1","0.05","0.0372207566000778","0.07","0.2","0.12","0.13","0.14","0.0832207566000778","0.08","0.12","0.13","0.1","0.07","0.0512207566000778"
