"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.776510810797493","0.66","0.58","0.62","0.59","0.61","0.164510810797493","0.78","0.84","0.79","0.83","0.78","0.0274891892025066","0.64","0.59","0.77","0.68","0.74","0.0925108107974934","0.61","0.6","0.55","0.53","0.65","0.188510810797493"
"r_vec","0.368475531660752","0.42","0.45","0.46","0.36","0.35","0.0503048936678496","0.56","0.53","0.55","0.56","0.54","0.179524468339248","0.46","0.48","0.47","0.5","0.42","0.0975244683392478","0.42","0.36","0.36","0.38","0.41","0.0243048936678496"
"r_vec","0.0912338960622687","0.22","0.23","0.22","0.23","0.18","0.124766103937731","0.4","0.34","0.25","0.24","0.23","0.200766103937731","0.23","0.23","0.23","0.27","0.26","0.152766103937731","0.16","0.13","0.15","0.19","0.15","0.0647661039377313"
"r_vec","0.612683969719707","0.33","0.39","0.35","0.38","0.42","0.238683969719707","0.24","0.32","0.4","0.3","0.3","0.300683969719707","0.41","0.33","0.38","0.36","0.38","0.240683969719707","0.26","0.23","0.19","0.15","0.22","0.402683969719707"
"r_vec","0.35688407506409","0.31","0.22","0.27","0.2","0.25","0.10688407506409","0.34","0.34","0.36","0.41","0.35","0.019376815012818","0.23","0.32","0.23","0.32","0.35","0.0668840750640899","0.24","0.23","0.25","0.24","0.2","0.12488407506409"
"r_vec","0.0115914565966623","0.11","0.11","0.08","0.14","0.09","0.0944085434033377","0.19","0.15","0.2","0.14","0.16","0.156408543403338","0.16","0.18","0.15","0.11","0.15","0.138408543403338","0.17","0.12","0.17","0.26","0.23","0.178408543403338"
"r_vec","1.9569836381908e-05","0.05","0.04","0.06","0.04","0.07","0.0519804301636181","0.06","0.03","0.06","0.07","0.08","0.0599804301636181","0.03","0.05","0.05","0.03","0.01","0.0339804301636181","0.17","0.19","0.18","0.18","0.17","0.177980430163618"
"r_vec","0.889232391795567","0.65","0.52","0.54","0.54","0.54","0.331232391795567","0.51","0.45","0.51","0.51","0.5","0.393232391795567","0.56","0.51","0.54","0.56","0.54","0.347232391795567","0.39","0.33","0.39","0.35","0.38","0.521232391795567"
"r_vec","0.000712783359006195","0.1","0.15","0.07","0.07","0.04","0.0852872166409938","0.17","0.12","0.14","0.15","0.16","0.147287216640994","0.06","0.1","0.06","0.15","0.09","0.0912872166409938","0.33","0.32","0.32","0.33","0.27","0.313287216640994"
"r_vec","0.0803356529882305","0.12","0.07","0.17","0.09","0.14","0.0417986082070617","0.17","0.22","0.15","0.18","0.15","0.0936643470117695","0.09","0.11","0.1","0.09","0.18","0.0336643470117695","0.07","0.11","0.14","0.11","0.1","0.0297986082070617"
