"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.984458741327745","0.53","0.59","0.46","0.47","0.5","0.474458741327745","0.72","0.74","0.73","0.72","0.73","0.256458741327745","0.65","0.65","0.58","0.69","0.69","0.332458741327745","0.58","0.52","0.54","0.56","0.59","0.426458741327745"
"r_vec","0.836975855204952","0.32","0.35","0.32","0.33","0.29","0.514975855204952","0.6","0.5","0.54","0.58","0.49","0.294975855204952","0.49","0.48","0.41","0.42","0.45","0.386975855204952","0.31","0.41","0.4","0.49","0.39","0.436975855204952"
"r_vec","0.451458783647218","0.07","0.13","0.14","0.15","0.11","0.331458783647218","0.23","0.21","0.22","0.23","0.27","0.219458783647218","0.15","0.28","0.14","0.24","0.18","0.253458783647218","0.14","0.27","0.23","0.19","0.23","0.239458783647218"
"r_vec","0.161692674840759","0.51","0.42","0.48","0.46","0.43","0.298307325159241","0.34","0.26","0.4","0.26","0.33","0.156307325159241","0.36","0.36","0.44","0.43","0.38","0.23230732515924","0.22","0.18","0.22","0.21","0.26","0.0563073251592405"
"r_vec","0.69732136603335","0.24","0.21","0.24","0.22","0.24","0.46732136603335","0.31","0.35","0.4","0.34","0.32","0.35332136603335","0.35","0.31","0.23","0.24","0.31","0.40932136603335","0.27","0.18","0.25","0.32","0.24","0.44532136603335"
"r_vec","0.139654489171602","0.01","0.07","0.02","0.1","0.07","0.0856544891716019","0.18","0.19","0.13","0.18","0.14","0.0282073064970389","0.1","0.13","0.21","0.13","0.14","0.0259308978343204","0.2","0.17","0.16","0.16","0.17","0.0323455108283981"
"r_vec","0.00115442622228824","0","0","0.02","0","0.02","0.00823088524445765","0.04","0.06","0.06","0.06","0.03","0.0488455737777118","0.02","0.02","0","0","0.04","0.0157691147555424","0.21","0.22","0.25","0.2","0.27","0.228845573777712"
"r_vec","0.528644585218483","0.66","0.56","0.58","0.61","0.6","0.0733554147815166","0.46","0.4","0.41","0.59","0.43","0.0951867511310901","0.61","0.58","0.64","0.56","0.6","0.0693554147815166","0.31","0.34","0.37","0.33","0.33","0.192644585218483"
"r_vec","0.0197195874022981","0.02","0.02","0.03","0.01","0.04","0.00816824755862115","0.06","0.16","0.1","0.15","0.19","0.112280412597702","0.11","0.09","0.09","0.11","0.08","0.0762804125977019","0.28","0.35","0.31","0.25","0.24","0.266280412597702"
"r_vec","0.330369455655625","0.12","0.06","0.13","0.12","0.08","0.228369455655625","0.16","0.18","0.23","0.1","0.17","0.162369455655625","0.16","0.13","0.14","0.15","0.13","0.188369455655625","0.11","0.04","0.11","0.1","0.08","0.242369455655625"
