"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.889932340503657","0.71","0.74","0.79","0.78","0.82","0.121932340503657","0.59","0.57","0.66","0.51","0.59","0.305932340503657","0.8","0.8","0.7","0.72","0.69","0.147932340503657","0.63","0.6","0.55","0.61","0.6","0.291932340503657"
"r_vec","0.548172094883133","0.56","0.51","0.54","0.55","0.54","0.0136344189766265","0.34","0.4","0.33","0.46","0.41","0.160172094883133","0.55","0.52","0.56","0.59","0.56","0.0190967430701204","0.45","0.39","0.47","0.38","0.42","0.126172094883133"
"r_vec","0.17585904281518","0.22","0.34","0.28","0.38","0.35","0.13814095718482","0.18","0.18","0.21","0.15","0.22","0.0224845743108921","0.31","0.23","0.29","0.28","0.28","0.10214095718482","0.17","0.15","0.23","0.22","0.21","0.032828191436964"
"r_vec","0.444614839643878","0.13","0.07","0.13","0.11","0.11","0.334614839643878","0.47","0.46","0.47","0.43","0.44","0.0170770320712245","0.16","0.22","0.19","0.2","0.24","0.242614839643878","0.27","0.22","0.25","0.27","0.23","0.196614839643878"
"r_vec","0.52247001746013","0.2","0.14","0.25","0.29","0.29","0.28847001746013","0.25","0.26","0.33","0.23","0.27","0.25447001746013","0.22","0.21","0.33","0.19","0.37","0.25847001746013","0.27","0.18","0.13","0.21","0.22","0.32047001746013"
"r_vec","0.0257020774230025","0.33","0.3","0.34","0.32","0.32","0.296297922576997","0.1","0.02","0.08","0.11","0.09","0.0565787535461985","0.32","0.23","0.3","0.28","0.24","0.248297922576997","0.17","0.17","0.22","0.17","0.21","0.162297922576997"
"r_vec","2.83951567907691e-05","0.24","0.18","0.21","0.2","0.24","0.213971604843209","0","0.01","0.02","0.01","0.01","0.00998296290592554","0.14","0.13","0.17","0.13","0.16","0.145971604843209","0.24","0.19","0.19","0.21","0.17","0.199971604843209"
"r_vec","0.815475784125056","0.29","0.2","0.22","0.25","0.22","0.579475784125056","0.61","0.58","0.54","0.55","0.7","0.219475784125056","0.35","0.33","0.38","0.33","0.37","0.463475784125056","0.31","0.31","0.28","0.22","0.27","0.537475784125056"
"r_vec","0.00148050274356572","0.39","0.45","0.38","0.38","0.32","0.382519497256434","0.02","0.04","0.03","0","0.03","0.0231116983538606","0.28","0.26","0.25","0.37","0.28","0.286519497256434","0.38","0.27","0.29","0.26","0.31","0.300519497256434"
"r_vec","0.151609072978952","0.12","0.18","0.15","0.17","0.11","0.0243218145957904","0.11","0.09","0.06","0.09","0.06","0.069609072978952","0.12","0.15","0.15","0.2","0.16","0.0183218145957904","0.11","0.12","0.08","0.09","0.05","0.061609072978952"
