"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.826401589677245","0.59","0.61","0.57","0.56","0.7","0.220401589677245","0.82","0.8","0.77","0.75","0.78","0.042401589677245","0.7","0.75","0.64","0.72","0.67","0.130401589677245","0.61","0.56","0.56","0.5","0.56","0.268401589677245"
"r_vec","0.424404740008986","0.53","0.47","0.38","0.37","0.39","0.0568809480017971","0.59","0.5","0.55","0.5","0.55","0.113595259991014","0.45","0.6","0.49","0.52","0.48","0.0835952599910145","0.48","0.35","0.37","0.44","0.35","0.0548809480017971"
"r_vec","0.109075933354965","0.16","0.19","0.17","0.22","0.17","0.0729240666450348","0.29","0.33","0.31","0.35","0.26","0.198924066645035","0.25","0.25","0.23","0.2","0.15","0.106924066645035","0.25","0.12","0.17","0.18","0.19","0.0729240666450348"
"r_vec","0.564730825291011","0.45","0.36","0.36","0.39","0.3","0.192730825291011","0.16","0.27","0.3","0.21","0.33","0.310730825291011","0.31","0.37","0.36","0.38","0.34","0.212730825291011","0.28","0.22","0.21","0.23","0.28","0.320730825291011"
"r_vec","0.411377493686616","0.3","0.34","0.27","0.22","0.35","0.115377493686616","0.32","0.32","0.34","0.33","0.33","0.0833774936866162","0.34","0.33","0.38","0.36","0.32","0.0653774936866162","0.17","0.24","0.23","0.18","0.21","0.205377493686616"
"r_vec","0.0130272463223691","0.1","0.08","0.13","0.1","0.1","0.0889727536776309","0.22","0.25","0.2","0.15","0.23","0.196972753677631","0.2","0.18","0.18","0.19","0.16","0.168972753677631","0.13","0.11","0.21","0.19","0.15","0.144972753677631"
"r_vec","1.17784127973815e-05","0.01","0.04","0","0.01","0","0.0119976443174405","0.13","0.11","0.04","0.11","0.12","0.101988221587203","0.05","0.05","0.05","0.09","0.08","0.0639882215872026","0.2","0.17","0.22","0.17","0.19","0.189988221587203"
"r_vec","0.879419524611244","0.55","0.62","0.58","0.51","0.53","0.321419524611244","0.43","0.48","0.48","0.42","0.37","0.443419524611244","0.53","0.47","0.49","0.51","0.5","0.379419524611244","0.31","0.34","0.3","0.32","0.35","0.555419524611244"
"r_vec","0.000651885746585293","0.04","0.04","0.1","0.05","0.05","0.0553481142534147","0.2","0.22","0.23","0.22","0.2","0.213348114253415","0.15","0.21","0.17","0.18","0.15","0.171348114253415","0.28","0.27","0.27","0.27","0.19","0.255348114253415"
"r_vec","0.0966887943663839","0.16","0.15","0.11","0.15","0.15","0.0473112056336161","0.14","0.1","0.16","0.13","0.1","0.0293112056336161","0.1","0.13","0.17","0.11","0.12","0.0293112056336161","0.07","0.09","0.1","0.14","0.12","0.0206622411267232"
