"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.965048502914569","0.58","0.66","0.59","0.64","0.65","0.341048502914569","0.56","0.58","0.51","0.59","0.61","0.395048502914569","0.58","0.68","0.72","0.65","0.61","0.317048502914569","0.64","0.56","0.68","0.63","0.59","0.345048502914569"
"r_vec","0.729124752533597","0.36","0.46","0.48","0.45","0.51","0.277124752533597","0.46","0.4","0.45","0.38","0.32","0.327124752533597","0.38","0.48","0.4","0.42","0.45","0.303124752533597","0.35","0.44","0.55","0.42","0.35","0.307124752533597"
"r_vec","0.311037759449484","0.2","0.16","0.12","0.13","0.21","0.147037759449484","0.19","0.21","0.16","0.12","0.14","0.147037759449484","0.24","0.12","0.2","0.25","0.25","0.0990377594494835","0.14","0.22","0.23","0.17","0.2","0.119037759449484"
"r_vec","0.270130511861913","0.38","0.43","0.37","0.4","0.36","0.117869488138087","0.42","0.44","0.33","0.47","0.35","0.131869488138087","0.44","0.4","0.36","0.38","0.43","0.131869488138087","0.26","0.24","0.27","0.24","0.26","0.0161305118619134"
"r_vec","0.663377997889418","0.28","0.36","0.28","0.3","0.3","0.359377997889418","0.23","0.34","0.27","0.27","0.23","0.395377997889418","0.27","0.26","0.24","0.22","0.27","0.411377997889418","0.24","0.21","0.34","0.21","0.23","0.417377997889418"
"r_vec","0.0657467546441795","0.17","0.2","0.14","0.12","0.13","0.0862532453558205","0.1","0.1","0.11","0.15","0.09","0.0442532453558205","0.17","0.12","0.12","0.21","0.06","0.0725519472134923","0.15","0.14","0.14","0.13","0.15","0.0762532453558205"
"r_vec","0.000204229749172364","0.03","0.04","0.09","0.02","0.01","0.0377957702508276","0.05","0.06","0.01","0.02","0.03","0.0337957702508276","0.04","0.05","0.05","0.04","0.03","0.0417957702508276","0.11","0.16","0.11","0.08","0.11","0.113795770250828"
"r_vec","0.682490038860684","0.52","0.51","0.5","0.62","0.57","0.138490038860684","0.56","0.5","0.58","0.49","0.52","0.152490038860684","0.53","0.46","0.61","0.49","0.53","0.158490038860684","0.49","0.4","0.38","0.42","0.31","0.282490038860684"
"r_vec","0.0059316958345149","0.06","0.09","0.11","0.09","0.08","0.0800683041654851","0.07","0.09","0.07","0.05","0.06","0.0620683041654851","0.08","0.02","0.05","0.08","0.05","0.0500683041654851","0.14","0.19","0.2","0.17","0.27","0.188068304165485"
"r_vec","0.251018470890646","0.18","0.11","0.13","0.1","0.1","0.127018470890646","0.13","0.1","0.13","0.15","0.1","0.129018470890646","0.16","0.06","0.16","0.18","0.1","0.119018470890646","0.06","0.11","0.14","0.12","0.09","0.147018470890646"
