"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.943779378882409","0.72","0.7","0.7","0.65","0.74","0.241779378882409","0.84","0.8","0.86","0.88","0.87","0.0937793788824093","0.77","0.78","0.81","0.79","0.76","0.161779378882409","0.63","0.61","0.45","0.67","0.58","0.355779378882409"
"r_vec","0.646494314771241","0.44","0.42","0.46","0.5","0.5","0.182494314771241","0.6","0.65","0.58","0.66","0.66","0.0287011370457517","0.66","0.49","0.59","0.62","0.65","0.0512988629542483","0.39","0.49","0.41","0.49","0.47","0.196494314771241"
"r_vec","0.22945064134937","0.2","0.29","0.2","0.29","0.24","0.038109871730126","0.28","0.35","0.37","0.41","0.4","0.13254935865063","0.24","0.41","0.27","0.25","0.38","0.0805493586506303","0.31","0.18","0.18","0.16","0.17","0.0616703848096218"
"r_vec","0.352260005130617","0.38","0.33","0.46","0.45","0.34","0.0535479989738766","0.09","0.08","0.09","0.18","0.12","0.240260005130617","0.24","0.21","0.21","0.35","0.26","0.0982600051306171","0.28","0.17","0.29","0.24","0.24","0.108260005130617"
"r_vec","0.61039623305409","0.28","0.3","0.33","0.35","0.29","0.30039623305409","0.32","0.22","0.3","0.25","0.31","0.33039623305409","0.28","0.37","0.38","0.32","0.31","0.27839623305409","0.19","0.13","0.2","0.25","0.13","0.43039623305409"
"r_vec","0.036098081717151","0.13","0.15","0.19","0.13","0.21","0.125901918282849","0.4","0.37","0.39","0.34","0.48","0.359901918282849","0.23","0.2","0.23","0.24","0.24","0.191901918282849","0.17","0.24","0.15","0.17","0.18","0.145901918282849"
"r_vec","4.30061982715351e-05","0.06","0.03","0.01","0.03","0.04","0.0339569938017285","0.19","0.2","0.18","0.11","0.28","0.191956993801728","0.04","0.06","0.1","0.13","0.09","0.0839569938017285","0.18","0.28","0.17","0.14","0.19","0.191956993801728"
"r_vec","0.767169314577922","0.62","0.47","0.54","0.44","0.64","0.225169314577922","0.21","0.19","0.2","0.29","0.23","0.543169314577922","0.41","0.45","0.43","0.4","0.43","0.343169314577922","0.32","0.36","0.33","0.16","0.32","0.469169314577922"
"r_vec","0.00217737017283816","0.12","0.09","0.07","0.07","0.09","0.0858226298271618","0.29","0.34","0.39","0.37","0.39","0.353822629827162","0.14","0.22","0.21","0.22","0.2","0.195822629827162","0.28","0.28","0.27","0.26","0.28","0.271822629827162"
"r_vec","0.195486923606785","0.17","0.14","0.11","0.12","0.13","0.0614869236067849","0.16","0.19","0.16","0.16","0.17","0.0274869236067849","0.22","0.22","0.1","0.11","0.15","0.055097384721357","0.14","0.1","0.05","0.11","0.1","0.0954869236067849"
