"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.479202923920035","0.38","0.39","0.4","0.36","0.38","0.0972029239200353","0.61","0.45","0.52","0.58","0.52","0.0684782456479788","0.52","0.5","0.58","0.47","0.59","0.0564782456479788","0.62","0.6","0.63","0.51","0.62","0.116797076079965"
"r_vec","0.0813394456967968","0.24","0.23","0.21","0.27","0.14","0.136660554303203","0.34","0.33","0.38","0.41","0.35","0.280660554303203","0.34","0.23","0.39","0.37","0.25","0.234660554303203","0.41","0.38","0.45","0.39","0.42","0.328660554303203"
"r_vec","0.0045748730503914","0.05","0.09","0.12","0.12","0.08","0.0874251269496086","0.08","0.2","0.15","0.11","0.15","0.133425126949609","0.17","0.12","0.19","0.17","0.23","0.171425126949609","0.17","0.25","0.17","0.24","0.19","0.199425126949609"
"r_vec","0.86542938614868","0.5","0.54","0.46","0.42","0.48","0.38542938614868","0.41","0.47","0.34","0.47","0.42","0.44342938614868","0.37","0.39","0.44","0.45","0.37","0.46142938614868","0.15","0.27","0.26","0.23","0.28","0.62742938614868"
"r_vec","0.081253893321105","0.12","0.12","0.19","0.14","0.23","0.078746106678895","0.19","0.23","0.26","0.3","0.26","0.166746106678895","0.25","0.22","0.26","0.22","0.23","0.154746106678895","0.22","0.22","0.14","0.25","0.21","0.126746106678895"
"r_vec","8.5552375691802e-05","0.03","0.04","0.01","0.04","0.04","0.0319144476243082","0.1","0.08","0.05","0.11","0.14","0.0959144476243082","0.08","0.11","0.09","0.14","0.11","0.105914447624308","0.17","0.2","0.18","0.27","0.07","0.177914447624308"
"r_vec","6.61298020106239e-10","0","0","0.02","0.01","0.01","0.0079999998677404","0.03","0","0","0.01","0.01","0.0099999998677404","0.02","0.02","0.01","0.02","0.03","0.019999999338702","0.13","0.16","0.12","0.12","0.06","0.117999999338702"
"r_vec","0.942193474440327","0.5","0.53","0.49","0.62","0.58","0.398193474440327","0.54","0.52","0.54","0.62","0.61","0.376193474440327","0.59","0.6","0.58","0.49","0.52","0.386193474440327","0.32","0.42","0.38","0.27","0.36","0.592193474440327"
"r_vec","4.85016055783722e-07","0.01","0.02","0.02","0.03","0.04","0.0239995149839442","0.04","0.04","0.05","0.08","0.05","0.0519995149839442","0.04","0.08","0.07","0.03","0.03","0.0499995149839442","0.22","0.2","0.24","0.21","0.23","0.219999514983944"
"r_vec","0.00448980502945734","0.08","0.05","0.1","0.07","0.06","0.0675101949705427","0.14","0.09","0.05","0.1","0.09","0.0895101949705427","0.14","0.11","0.12","0.16","0.12","0.125510194970543","0.1","0.1","0.09","0.08","0.14","0.0975101949705427"
