"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.945524971467324","0.68","0.75","0.61","0.69","0.55","0.289524971467324","0.63","0.65","0.7","0.66","0.69","0.279524971467324","0.66","0.72","0.59","0.66","0.58","0.303524971467324","0.62","0.5","0.59","0.63","0.57","0.363524971467324"
"r_vec","0.669994503660191","0.49","0.44","0.45","0.37","0.55","0.209994503660191","0.44","0.47","0.43","0.59","0.47","0.189994503660191","0.47","0.44","0.43","0.44","0.46","0.221994503660191","0.41","0.31","0.41","0.47","0.44","0.261994503660191"
"r_vec","0.268394020034723","0.28","0.23","0.2","0.22","0.26","0.0350364120208337","0.17","0.21","0.25","0.3","0.15","0.0650364120208337","0.21","0.19","0.21","0.2","0.14","0.0783940200347228","0.2","0.13","0.25","0.22","0.18","0.0723940200347228"
"r_vec","0.328634180610359","0.29","0.35","0.3","0.19","0.22","0.0671805083662153","0.27","0.34","0.37","0.31","0.31","0.0297268361220718","0.26","0.21","0.28","0.27","0.35","0.0631805083662153","0.15","0.17","0.17","0.16","0.19","0.160634180610359"
"r_vec","0.613750211022743","0.3","0.23","0.39","0.3","0.24","0.321750211022743","0.27","0.24","0.34","0.26","0.24","0.343750211022743","0.34","0.22","0.22","0.23","0.22","0.367750211022743","0.28","0.21","0.12","0.17","0.13","0.431750211022743"
"r_vec","0.0562442926374489","0.18","0.2","0.21","0.11","0.2","0.123755707362551","0.16","0.11","0.18","0.14","0.12","0.0857557073625511","0.23","0.23","0.22","0.26","0.18","0.167755707362551","0.17","0.22","0.16","0.21","0.24","0.143755707362551"
"r_vec","0.000215358354350929","0.11","0.1","0.13","0.08","0.09","0.101784641645649","0.05","0.01","0.06","0.12","0.05","0.0577846416456491","0.11","0.08","0.08","0.05","0.12","0.0877846416456491","0.22","0.21","0.35","0.23","0.2","0.241784641645649"
"r_vec","0.725033713061822","0.34","0.45","0.38","0.49","0.43","0.307033713061822","0.41","0.55","0.4","0.48","0.49","0.259033713061822","0.41","0.37","0.34","0.43","0.46","0.323033713061822","0.25","0.28","0.27","0.24","0.34","0.449033713061822"
"r_vec","0.005416309528357","0.15","0.24","0.23","0.18","0.24","0.202583690471643","0.12","0.13","0.11","0.14","0.18","0.130583690471643","0.21","0.21","0.24","0.26","0.22","0.222583690471643","0.31","0.38","0.31","0.4","0.32","0.338583690471643"
"r_vec","0.21735067857128","0.11","0.18","0.09","0.13","0.09","0.0973506785712796","0.13","0.17","0.11","0.13","0.17","0.0753506785712796","0.14","0.12","0.14","0.07","0.14","0.0953506785712796","0.12","0.09","0.07","0.11","0.08","0.12335067857128"
