"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.714374599311621","0.65","0.66","0.62","0.6","0.57","0.0943745993116213","0.73","0.7","0.75","0.78","0.62","0.0451250801376758","0.72","0.69","0.8","0.77","0.65","0.0471250801376758","0.67","0.64","0.59","0.6","0.6","0.0943745993116213"
"r_vec","0.272700748792144","0.41","0.41","0.43","0.42","0.32","0.125299251207856","0.48","0.45","0.44","0.53","0.52","0.211299251207856","0.54","0.47","0.48","0.48","0.55","0.231299251207856","0.36","0.49","0.39","0.34","0.38","0.119299251207856"
"r_vec","0.045910730064907","0.26","0.17","0.17","0.23","0.22","0.164089269935093","0.24","0.23","0.21","0.27","0.25","0.194089269935093","0.34","0.3","0.35","0.21","0.28","0.250089269935093","0.25","0.22","0.18","0.18","0.19","0.158089269935093"
"r_vec","0.701362031602945","0.42","0.42","0.38","0.48","0.47","0.267362031602945","0.39","0.34","0.38","0.45","0.35","0.319362031602945","0.16","0.29","0.37","0.28","0.32","0.417362031602945","0.24","0.2","0.19","0.2","0.25","0.485362031602945"
"r_vec","0.269491274561469","0.36","0.27","0.24","0.36","0.19","0.0581017450877063","0.38","0.35","0.35","0.28","0.3","0.0625087254385314","0.26","0.32","0.28","0.3","0.29","0.0243052352631188","0.18","0.19","0.2","0.11","0.22","0.0894912745614686"
"r_vec","0.00320947423067565","0.11","0.11","0.13","0.14","0.14","0.122790525769324","0.14","0.12","0.08","0.15","0.21","0.136790525769324","0.24","0.23","0.24","0.18","0.24","0.222790525769324","0.15","0.12","0.17","0.17","0.25","0.168790525769324"
"r_vec","7.24345622538996e-07","0.02","0.05","0.02","0.05","0.01","0.0299992756543775","0.02","0.03","0.02","0.03","0.03","0.0259992756543775","0.09","0.08","0.05","0.07","0.1","0.0779992756543775","0.2","0.24","0.19","0.22","0.23","0.215999275654377"
"r_vec","0.928067685898653","0.51","0.55","0.55","0.58","0.56","0.378067685898653","0.59","0.57","0.51","0.51","0.55","0.382067685898653","0.39","0.34","0.44","0.48","0.39","0.520067685898653","0.3","0.4","0.27","0.39","0.34","0.588067685898653"
"r_vec","8.50887771519782e-05","0.08","0.09","0.04","0.07","0.1","0.075914911222848","0.09","0.1","0.07","0.13","0.11","0.099914911222848","0.14","0.12","0.16","0.19","0.18","0.157914911222848","0.24","0.41","0.38","0.28","0.32","0.325914911222848"
"r_vec","0.0427856202657607","0.08","0.13","0.16","0.07","0.13","0.0712143797342393","0.12","0.13","0.14","0.15","0.17","0.0992143797342393","0.14","0.17","0.14","0.25","0.15","0.127214379734239","0.12","0.12","0.09","0.11","0.14","0.0732143797342393"
