"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"r_mat","true posterior prob","t1","t2","t3","t4","t5","et","T1","T2","T3","T4","T5","eT","M1","M2","M3","M4","M5","eM","C1","C2","C3","C4","C5","eC"
"r_vec","0.975597788538177","0.67","0.65","0.56","0.59","0.63","0.355597788538177","0.75","0.7","0.72","0.7","0.63","0.275597788538177","0.72","0.74","0.76","0.73","0.73","0.239597788538177","0.68","0.64","0.6","0.51","0.59","0.371597788538177"
"r_vec","0.782756359742672","0.45","0.45","0.4","0.3","0.42","0.378756359742672","0.52","0.43","0.51","0.45","0.56","0.288756359742672","0.47","0.6","0.52","0.38","0.49","0.290756359742672","0.44","0.39","0.38","0.37","0.41","0.384756359742672"
"r_vec","0.371122929743246","0.3","0.31","0.29","0.26","0.17","0.105122929743246","0.28","0.25","0.23","0.18","0.22","0.139122929743246","0.39","0.18","0.28","0.21","0.2","0.126673757845948","0.2","0.19","0.23","0.16","0.24","0.167122929743246"
"r_vec","0.216559516441292","0.31","0.39","0.49","0.37","0.39","0.173440483558708","0.32","0.28","0.3","0.22","0.28","0.0634404835587081","0.28","0.38","0.29","0.24","0.27","0.0754404835587081","0.26","0.21","0.23","0.26","0.25","0.0280642901352249"
"r_vec","0.694075213873672","0.19","0.26","0.38","0.27","0.21","0.432075213873672","0.25","0.32","0.32","0.39","0.32","0.374075213873672","0.29","0.28","0.31","0.23","0.24","0.424075213873672","0.25","0.19","0.24","0.21","0.2","0.476075213873672"
"r_vec","0.0886811458690002","0.09","0.21","0.18","0.1","0.11","0.0493188541309998","0.22","0.12","0.27","0.19","0.25","0.121318854131","0.23","0.17","0.19","0.14","0.2","0.0973188541309998","0.21","0.22","0.21","0.27","0.16","0.125318854131"
"r_vec","0.000316150578875843","0.06","0.04","0.03","0.03","0.05","0.0416838494211242","0.06","0.08","0.08","0.05","0.12","0.0776838494211242","0.12","0.1","0.07","0.1","0.11","0.0996838494211242","0.12","0.14","0.24","0.18","0.24","0.183683849421124"
"r_vec","0.619721642528448","0.58","0.5","0.52","0.54","0.57","0.0777216425284475","0.49","0.42","0.47","0.49","0.46","0.153721642528448","0.44","0.49","0.49","0.44","0.45","0.157721642528448","0.32","0.35","0.42","0.31","0.38","0.263721642528448"
"r_vec","0.00878745449114629","0.03","0.04","0.14","0.05","0.14","0.0712125455088537","0.13","0.16","0.13","0.22","0.21","0.161212545508854","0.26","0.2","0.2","0.28","0.27","0.233212545508854","0.19","0.27","0.2","0.27","0.21","0.219212545508854"
"r_vec","0.290913087786516","0.11","0.16","0.11","0.17","0.16","0.148913087786516","0.17","0.15","0.14","0.1","0.13","0.152913087786516","0.19","0.16","0.2","0.13","0.13","0.128913087786516","0.11","0.14","0.07","0.16","0.14","0.166913087786516"
